"Figure 2. Southwestern U.S. Lands Under Drought Conditions, 2000-2023",,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,
"Data source: National Drought Mitigation Center, 2024",,,,,,,
Web update: December 2024,,,,,,,
Units: percent of land area,,,,,,,
,,,,,,,
Month,Day,Year,D0 Abnormally dry,D1 Moderate drought,D2 Severe drought,D3 Extreme drought,D4 Exceptional drought
12,26,2023,16.2286853,9.277756805,12.65673103,7.277189277,1.127447563
12,19,2023,16.26264832,9.638349131,12.84322432,7.480538408,1.127447563
12,12,2023,15.34384723,9.566576102,13.10246767,7.652787341,1.127447563
12,5,2023,15.83688158,9.549925076,13.27822368,7.652787341,1.127447563
11,28,2023,15.84880679,9.440676065,13.34366202,7.736301976,1.127447563
11,21,2023,14.40222303,9.457819781,12.59382066,8.308112953,1.231840856
11,14,2023,13.70959169,10.14482527,12.63731786,7.577359903,1.231840856
11,7,2023,13.00065018,10.22306975,12.80915236,7.286537653,1.29621672
10,31,2023,13.90400904,10.65859812,12.05655863,6.08079512,1.29621672
10,24,2023,14.07527969,10.48228289,12.16082571,6.08079512,1.29621672
10,17,2023,14.2773319,11.81446404,10.81959098,5.576227538,1.191823427
10,10,2023,14.43441676,11.98279279,10.81959098,5.576227538,1.191823427
10,3,2023,14.463165,11.83873076,10.26716816,5.576227538,1.191823427
9,26,2023,14.55906405,12.10200367,9.378663124,5.300782156,1.191823427
9,19,2023,13.92796425,12.64343852,8.883669005,6.238581903,0
9,12,2023,14.4538216,12.6094734,11.85822062,3.478036541,0
9,5,2023,14.45467446,12.6094734,11.85822062,3.478036541,0
8,29,2023,17.39229876,15.80372601,7.874937854,2.59243344,0
8,22,2023,17.65687269,16.0426481,7.940201563,1.720749444,0
8,15,2023,26.02493176,21.14983981,2.59243344,0.520226576,0
8,8,2023,27.54333698,19.73180282,2.510658693,0.381035519,0
8,1,2023,31.4207673,12.49065921,2.260114791,0,0
7,25,2023,32.40600777,9.794699501,1.430188112,0,0
7,18,2023,25.48638036,7.09273089,1.115268345,0,0
7,11,2023,15.77927428,7.09273089,1.115268345,0,0
7,4,2023,19.31901209,7.157906697,1.645601498,0,0
6,27,2023,19.69333484,7.157906697,1.645601498,0,0
6,20,2023,19.13097506,7.791226007,1.645601498,0,0
6,13,2023,20.96406103,8.648171021,1.943122383,0,0
6,6,2023,25.61104692,8.959785644,2.323368964,0,0
5,30,2023,27.57776496,8.767102104,3.275725304,0.140142007,0
5,23,2023,27.40801745,8.910511392,3.460740458,0.629212607,0.011916238
5,16,2023,29.66162334,10.45599099,3.165948274,0.949827514,0.082713075
5,9,2023,29.1250328,12.58157726,3.827760282,0.955297537,0.084202605
5,2,2023,28.26948168,12.86855922,4.034407874,0.955297537,0.084202605
4,25,2023,26.11386914,14.05795505,4.634364345,1.299953294,0.100587432
4,18,2023,26.80566508,14.45639509,4.91013096,1.299953294,0.100587432
4,11,2023,25.03479613,15.58043982,4.819656773,1.299953294,0.100587432
4,4,2023,25.91667471,20.57283695,5.38157085,0.963820285,0.100587432
3,28,2023,21.82986509,26.75686191,6.643447437,0.963820285,0.100587432
3,21,2023,18.35132179,30.27611834,12.07654488,1.024706327,0.056890352
3,14,2023,20.05307901,29.55622618,14.453276,1.024706327,0.056890352
3,7,2023,22.84645586,26.15132377,20.57684392,1.143759755,0.056890352
2,28,2023,22.36968678,25.95560519,22.68702214,2.348126962,0.056890352
2,21,2023,16.37929161,34.42654268,25.56134957,2.348126962,0.056890352
2,14,2023,17.04259748,33.9160484,26.26671133,2.348126962,0.056890352
2,7,2023,20.90495119,33.99800462,25.58300409,3.033323732,0.056890352
1,31,2023,17.40284632,33.97662689,25.43353168,6.080676237,0.039015995
1,24,2023,17.77440467,33.97662689,25.43353168,6.080676237,0.039015995
1,17,2023,19.60115092,28.65194849,29.33792075,7.159078714,0.039015995
1,10,2023,20.34268663,29.43722983,30.03251719,8.093660591,0.039015995
1,3,2023,21.5976094,23.15618002,31.45028207,14.23972771,0.266580109
12,27,2022,23.97695735,16.13724687,37.50011528,15.07462433,2.021185725
12,20,2022,23.45860099,16.28173126,37.50011528,15.07462433,2.021185725
12,13,2022,23.45707861,16.28173126,37.33328794,15.2307746,2.028633374
12,6,2022,22.78001883,15.89627502,35.86221817,16.92512641,3.333343693
11,29,2022,23.16966522,18.08871761,32.13324864,19.6832351,3.331854164
11,22,2022,22.84690953,17.4547057,32.00639489,20.7617212,3.331854164
11,15,2022,22.89088221,17.5470313,31.93439674,20.60148866,3.331854164
11,8,2022,23.12962745,16.49371335,32.29905636,20.15390503,4.231331296
11,1,2022,23.12532749,16.7625317,31.66755357,20.52274094,4.231331296
10,25,2022,22.24572088,17.52642956,31.602252,20.88637757,4.231331296
10,18,2022,21.79302386,17.05049788,32.26526016,20.22382453,4.381970328
10,11,2022,19.93776814,17.14758439,34.28118319,20.24818297,4.381970328
10,4,2022,15.25892463,20.45300319,34.57995593,20.98348374,4.438542323
9,27,2022,16.7745879,20.56470315,34.73188429,21.05098805,4.407224335
9,20,2022,14.44064971,20.62485506,36.9188219,21.10668083,4.407224335
9,13,2022,13.81056995,19.85248272,38.29779973,21.1258196,4.407224335
9,6,2022,13.06720339,17.6986479,39.92703732,22.40297658,4.410203395
8,30,2022,13.4462824,17.65888083,38.74644033,23.58130863,4.450220824
8,23,2022,10.8594377,17.95634516,39.46363831,25.21245709,4.4626504
8,16,2022,8.917784608,19.31145285,37.84922905,28.07201752,4.519582736
8,9,2022,7.785722743,15.88218215,38.40575191,30.90832409,5.689466658
8,2,2022,7.503370509,14.54011622,35.06343393,32.23434969,10.05568341
7,26,2022,3.968528987,16.19733375,35.97009484,32.427066,10.909019
7,19,2022,2.668732725,14.16418243,37.76402096,33.81116237,11.06071467
7,12,2022,2.89259817,15.5472004,36.63574481,33.59991858,11.09551244
7,5,2022,2.89259817,11.65586443,36.97182729,38.75011041,9.499726646
6,28,2022,2.458746076,11.71267382,37.00655279,39.04314496,9.600114204
6,21,2022,2.882946534,10.16934702,31.44624396,38.71368832,16.62578281
6,14,2022,2.853155939,10.21552244,30.95256074,39.43273807,16.38403146
6,7,2022,2.585040582,10.58472595,31.84631769,39.29724836,15.52467608
5,31,2022,2.109031335,8.888967429,35.0512243,39.08814149,14.70221804
5,24,2022,1.939224942,8.760887015,35.06654567,39.29325138,14.94352186
5,17,2022,1.383630341,10.99518564,36.49454595,40.61424892,10.51810256
5,10,2022,1.731254597,12.70312805,39.5228171,40.27154256,5.776069332
5,3,2022,1.775916707,14.12148139,45.06854974,33.35803169,5.67453095
4,26,2022,2.13489338,13.75803613,47.78028712,32.20075294,4.126030439
4,19,2022,4.368669534,14.52099824,45.83336556,32.76559175,2.513114799
