date,category,category_label,value
2000-01-04,D0,D0 Abnormally dry,33.08880529
2000-01-11,D0,D0 Abnormally dry,75.40989677
2000-01-18,D0,D0 Abnormally dry,80.91350314
2000-01-25,D0,D0 Abnormally dry,75.83504174
2000-02-01,D0,D0 Abnormally dry,67.46254199
2000-02-08,D0,D0 Abnormally dry,62.77447729
2000-02-15,D0,D0 Abnormally dry,50.538476
2000-02-22,D0,D0 Abnormally dry,33.33502634
2000-02-29,D0,D0 Abnormally dry,26.45248271
2000-03-07,D0,D0 Abnormally dry,22.56223047
2000-03-14,D0,D0 Abnormally dry,14.34123169
2000-03-21,D0,D0 Abnormally dry,13.78270717
2000-03-28,D0,D0 Abnormally dry,10.79959478
2000-04-04,D0,D0 Abnormally dry,9.517085734
2000-04-11,D0,D0 Abnormally dry,9.377133842
2000-04-18,D0,D0 Abnormally dry,11.77919445
2000-04-25,D0,D0 Abnormally dry,9.846342843
2000-05-02,D0,D0 Abnormally dry,9.484890575
2000-05-09,D0,D0 Abnormally dry,9.299049794
2000-05-16,D0,D0 Abnormally dry,10.73869408
2000-05-23,D0,D0 Abnormally dry,10.79747495
2000-05-30,D0,D0 Abnormally dry,8.886004382
2000-06-06,D0,D0 Abnormally dry,15.02522628
2000-06-13,D0,D0 Abnormally dry,28.05434483
2000-06-20,D0,D0 Abnormally dry,36.5568574
2000-06-27,D0,D0 Abnormally dry,36.16389634
2000-07-04,D0,D0 Abnormally dry,45.97388018
2000-07-11,D0,D0 Abnormally dry,40.17725034
2000-07-18,D0,D0 Abnormally dry,50.09398075
2000-07-25,D0,D0 Abnormally dry,55.40987701
2000-08-01,D0,D0 Abnormally dry,56.09716358
2000-08-08,D0,D0 Abnormally dry,56.96259714
2000-08-15,D0,D0 Abnormally dry,45.61303432
2000-08-22,D0,D0 Abnormally dry,37.86778255
2000-08-29,D0,D0 Abnormally dry,43.36229322
2000-09-05,D0,D0 Abnormally dry,39.16120427
2000-09-12,D0,D0 Abnormally dry,38.04522477
2000-09-19,D0,D0 Abnormally dry,38.44888734
2000-09-26,D0,D0 Abnormally dry,39.26386922
2000-10-03,D0,D0 Abnormally dry,37.23559781
2000-10-10,D0,D0 Abnormally dry,38.57189563
2000-10-17,D0,D0 Abnormally dry,36.02208957
2000-10-24,D0,D0 Abnormally dry,40.47732668
2000-10-31,D0,D0 Abnormally dry,29.38144348
2000-11-07,D0,D0 Abnormally dry,23.31005166
2000-11-14,D0,D0 Abnormally dry,11.80293815
2000-11-21,D0,D0 Abnormally dry,11.99752835
2000-11-28,D0,D0 Abnormally dry,11.94881148
