year,series,series_label,value
1895,annual,Annual avg,1.848723124
1896,annual,Annual avg,0.704325592
1897,annual,Annual avg,1.191169772
1898,annual,Annual avg,-0.177896074
1899,annual,Annual avg,-0.398169888
1900,annual,Annual avg,-1.43943109
1901,annual,Annual avg,-1.074702581
1902,annual,Annual avg,-1.881902474
1903,annual,Annual avg,-0.446739216
1904,annual,Annual avg,-0.797296298
1905,annual,Annual avg,2.317059469
1906,annual,Annual avg,4.006864741
1907,annual,Annual avg,4.188245555
1908,annual,Annual avg,1.51958327
1909,annual,Annual avg,1.55233625
1910,annual,Annual avg,-1.085431891
1911,annual,Annual avg,0.80128516
1912,annual,Annual avg,0.948732737
1913,annual,Annual avg,0.445492295
1914,annual,Annual avg,1.587572952
1915,annual,Annual avg,2.807141499
1916,annual,Annual avg,2.287208121
1917,annual,Annual avg,0.539070524
1918,annual,Annual avg,-0.808631357
1919,annual,Annual avg,0.77315123
1920,annual,Annual avg,1.701147606
1921,annual,Annual avg,0.714061709
1922,annual,Annual avg,0.686290886
1923,annual,Annual avg,1.210942569
1924,annual,Annual avg,-1.242398154
1925,annual,Annual avg,-0.510453971
1926,annual,Annual avg,-0.492762308
1927,annual,Annual avg,0.605327013
1928,annual,Annual avg,-0.796936916
1929,annual,Annual avg,-0.564817127
1930,annual,Annual avg,-0.702994276
1931,annual,Annual avg,-0.553387241
1932,annual,Annual avg,0.866402602
1933,annual,Annual avg,-0.863141526
1934,annual,Annual avg,-3.655055173
1935,annual,Annual avg,-0.882598351
1936,annual,Annual avg,-0.684816238
1937,annual,Annual avg,-0.022678828
1938,annual,Annual avg,0.70369808
1939,annual,Annual avg,-1.160140106
1940,annual,Annual avg,-0.597866157
1941,annual,Annual avg,4.884984813
1942,annual,Annual avg,3.421459255
1943,annual,Annual avg,0.010007621
1944,annual,Annual avg,0.456054917
1945,annual,Annual avg,0.611886578
1946,annual,Annual avg,-0.608121045
1947,annual,Annual avg,-0.650510381
1948,annual,Annual avg,0.281493756
1949,annual,Annual avg,0.427347398
1950,annual,Annual avg,-1.907325229
1951,annual,Annual avg,-1.269610937
1952,annual,Annual avg,0.989783733
1953,annual,Annual avg,-1.475923658
1954,annual,Annual avg,-2.71602506
1955,annual,Annual avg,-2.105281836
1956,annual,Annual avg,-2.260438447
1957,annual,Annual avg,0.639707664
1958,annual,Annual avg,1.613550889
1959,annual,Annual avg,-2.230706737
1960,annual,Annual avg,-1.817619606
1961,annual,Annual avg,-1.00495251
1962,annual,Annual avg,-0.153529637
1963,annual,Annual avg,-1.16325095
1964,annual,Annual avg,-1.443191231
1965,annual,Annual avg,1.657176155
1966,annual,Annual avg,-0.362067604
1967,annual,Annual avg,0.401599137
1968,annual,Annual avg,-0.1643157
1969,annual,Annual avg,0.917798225
1970,annual,Annual avg,0.191915796
1971,annual,Annual avg,0.191052953
1972,annual,Annual avg,-0.760376874
1973,annual,Annual avg,2.001500231
1974,annual,Annual avg,-1.015117843
1975,annual,Annual avg,0.450307438
1976,annual,Annual avg,-1.597147843
1977,annual,Annual avg,-2.88982133
1978,annual,Annual avg,1.323844478
1979,annual,Annual avg,2.489376664
1980,annual,Annual avg,1.273568805
1981,annual,Annual avg,-1.787978301
1982,annual,Annual avg,1.65443679
1983,annual,Annual avg,4.928696701
1984,annual,Annual avg,2.604815929
1985,annual,Annual avg,2.133501979
1986,annual,Annual avg,1.289861638
1987,annual,Annual avg,0.598718623
1988,annual,Annual avg,0.000477773
1989,annual,Annual avg,-2.244033384
1990,annual,Annual avg,-2.477697317
1991,annual,Annual avg,-0.946138483
1992,annual,Annual avg,0.390327424
1993,annual,Annual avg,2.169759469
1994,annual,Annual avg,-1.200708229
1995,annual,Annual avg,2.069271907
1996,annual,Annual avg,-0.191439723
1997,annual,Annual avg,0.592223143
1998,annual,Annual avg,3.018517495
1999,annual,Annual avg,-0.152981392
2000,annual,Annual avg,-1.960781825
2001,annual,Annual avg,-1.626930468
2002,annual,Annual avg,-3.933349934
2003,annual,Annual avg,-3.057329897
2004,annual,Annual avg,-1.054793797
2005,annual,Annual avg,2.426282977
2006,annual,Annual avg,-0.598875412
2007,annual,Annual avg,-2.390221452
2008,annual,Annual avg,-1.964000411
2009,annual,Annual avg,-2.183382055
2010,annual,Annual avg,0.858079953
2011,annual,Annual avg,-0.082974035
2012,annual,Annual avg,-3.463744192
2013,annual,Annual avg,-3.434007482
2014,annual,Annual avg,-3.083694396
2015,annual,Annual avg,-1.657722522
2016,annual,Annual avg,-0.98425331
2017,annual,Annual avg,-0.172768349
2018,annual,Annual avg,-3.09059553
2019,annual,Annual avg,0.476271518
2020,annual,Annual avg,-2.550058888
2021,annual,Annual avg,-4.672334803
2022,annual,Annual avg,-3.430039665
2023,annual,Annual avg,0.533624006
1895,nine_year,9-yr avg,1.454357491
1896,nine_year,9-yr avg,1.087240894
1897,nine_year,9-yr avg,0.615335096
1898,nine_year,9-yr avg,0.068481638
1899,nine_year,9-yr avg,-0.481249075
1900,nine_year,9-yr avg,-0.91817547
1901,nine_year,9-yr avg,-1.129588379
1902,nine_year,9-yr avg,-1.01711795
1903,nine_year,9-yr avg,-0.477309916
1904,nine_year,9-yr avg,0.521150909
1905,nine_year,9-yr avg,1.735434583
1906,nine_year,9-yr avg,2.620621447
1907,nine_year,9-yr avg,2.719898742
1908,nine_year,9-yr avg,2.088834856
1909,nine_year,9-yr avg,1.230821118
1910,nine_year,9-yr avg,0.654686544
1911,nine_year,9-yr avg,0.532135331
1912,nine_year,9-yr avg,0.738177313
1913,nine_year,9-yr avg,1.117027899
1914,nine_year,9-yr avg,1.534034083
1915,nine_year,9-yr avg,1.733400982
1916,nine_year,9-yr avg,1.491022793
1917,nine_year,9-yr avg,0.969737306
1918,nine_year,9-yr avg,0.621084661
1919,nine_year,9-yr avg,0.652325292
1920,nine_year,9-yr avg,0.835873588
1921,nine_year,9-yr avg,0.870530789
1922,nine_year,9-yr avg,0.662053792
1923,nine_year,9-yr avg,0.274884962
1924,nine_year,9-yr avg,-0.120556206
1925,nine_year,9-yr avg,-0.323363825
1926,nine_year,9-yr avg,-0.316912317
1927,nine_year,9-yr avg,-0.292435315
1928,nine_year,9-yr avg,-0.374550548
1929,nine_year,9-yr avg,-0.470560567
1930,nine_year,9-yr avg,-0.453493509
1931,nine_year,9-yr avg,-0.411962074
1932,nine_year,9-yr avg,-0.600640197
1933,nine_year,9-yr avg,-1.048757919
1934,nine_year,9-yr avg,-1.379448054
1935,nine_year,9-yr avg,-1.245196779
1936,nine_year,9-yr avg,-0.770267085
1937,nine_year,9-yr avg,-0.342688824
1938,nine_year,9-yr avg,-0.082455492
1939,nine_year,9-yr avg,0.319851177
1940,nine_year,9-yr avg,1.101230262
1941,nine_year,9-yr avg,1.866147158
1942,nine_year,9-yr avg,1.97406468
1943,nine_year,9-yr avg,1.407403039
1944,nine_year,9-yr avg,0.699542235
1945,nine_year,9-yr avg,0.200461861
1946,nine_year,9-yr avg,-0.074480739
1947,nine_year,9-yr avg,-0.185929958
1948,nine_year,9-yr avg,-0.261878969
1949,nine_year,9-yr avg,-0.440259286
1950,nine_year,9-yr avg,-0.646169426
1951,nine_year,9-yr avg,-0.749403388
1952,nine_year,9-yr avg,-0.895786345
1953,nine_year,9-yr avg,-1.276391494
1954,nine_year,9-yr avg,-1.685861697
1955,nine_year,9-yr avg,-1.688044427
1956,nine_year,9-yr avg,-1.178332034
1957,nine_year,9-yr avg,-0.592202658
1958,nine_year,9-yr avg,-0.461267347
1959,nine_year,9-yr avg,-0.782751769
1960,nine_year,9-yr avg,-1.075944028
1961,nine_year,9-yr avg,-1.062898779
1962,nine_year,9-yr avg,-0.885960676
1963,nine_year,9-yr avg,-0.671282337
1964,nine_year,9-yr avg,-0.369566639
1965,nine_year,9-yr avg,-0.035345045
1966,nine_year,9-yr avg,0.168012712
1967,nine_year,9-yr avg,0.233403733
1968,nine_year,9-yr avg,0.274227216
1969,nine_year,9-yr avg,0.30103461
1970,nine_year,9-yr avg,0.263617145
1971,nine_year,9-yr avg,0.213658911
1972,nine_year,9-yr avg,0.217540318
1973,nine_year,9-yr avg,0.177427826
1974,nine_year,9-yr avg,-0.077508197
1975,nine_year,9-yr avg,-0.517383508
1976,nine_year,9-yr avg,-0.794252242
1977,nine_year,9-yr avg,-0.51953202
1978,nine_year,9-yr avg,0.199695122
1979,nine_year,9-yr avg,0.760040767
1980,nine_year,9-yr avg,0.895072935
1981,nine_year,9-yr avg,1.082768947
1982,nine_year,9-yr avg,1.718290287
1983,nine_year,9-yr avg,2.409363762
1984,nine_year,9-yr avg,2.546955337
1985,nine_year,9-yr avg,2.075867251
1986,nine_year,9-yr avg,1.316003664
1987,nine_year,9-yr avg,0.453413822
1988,nine_year,9-yr avg,-0.440896602
1989,nine_year,9-yr avg,-1.124178177
1990,nine_year,9-yr avg,-1.245737941
1991,nine_year,9-yr avg,-0.750530979
1992,nine_year,9-yr avg,-0.034135602
1993,nine_year,9-yr avg,0.449002606
1994,nine_year,9-yr avg,0.611775524
1995,nine_year,9-yr avg,0.665608987
1996,nine_year,9-yr avg,0.785567859
1997,nine_year,9-yr avg,0.893277415
1998,nine_year,9-yr avg,0.679829034
1999,nine_year,9-yr avg,-0.056381564
2000,nine_year,9-yr avg,-1.107469483
2001,nine_year,9-yr avg,-2.012175514
2002,nine_year,9-yr avg,-2.34954351
2003,nine_year,9-yr avg,-1.929639579
2004,nine_year,9-yr avg,-1.063041018
2005,nine_year,9-yr avg,-0.493305548
2006,nine_year,9-yr avg,-0.661832175
2007,nine_year,9-yr avg,-1.206052096
2008,nine_year,9-yr avg,-1.453578767
2009,nine_year,9-yr avg,-1.240337674
2010,nine_year,9-yr avg,-1.051185916
2011,nine_year,9-yr avg,-1.380631989
2012,nine_year,9-yr avg,-2.091434973
2013,nine_year,9-yr avg,-2.574773928
2014,nine_year,9-yr avg,-2.460226065
2015,nine_year,9-yr avg,-1.940924967
2016,nine_year,9-yr avg,-1.46078527
2017,nine_year,9-yr avg,-1.275555923
2018,nine_year,9-yr avg,-1.388517359
2019,nine_year,9-yr avg,-1.775933483
2020,nine_year,9-yr avg,-2.318848577
2021,nine_year,9-yr avg,-2.553776551
2022,nine_year,9-yr avg,-2.042220958
2023,nine_year,9-yr avg,-0.99941829
