climate_division_id,value
201,1.643725775
202,1.555434432
203,1.838816214
204,1.87370801
205,1.928028101
206,1.938921189
207,1.574467054
401,1.348869509
402,1.279812661
403,1.395364987
404,1.658615956
405,1.559165052
406,2.058228359
407,1.82244832
501,1.302091408
502,1.849604328
503,1.519614018
504,1.447819767
505,1.503851744
2601,1.335069444
2602,1.301776486
2603,1.882574289
2604,1.718790375
2901,1.523942183
2902,1.455208333
2903,1.535731589
2904,1.50505491
2905,1.80562823
2906,1.824087532
2907,1.904699612
2908,1.693225129
4201,1.402834302
4202,1.475129199
4203,1.505289083
4204,1.609665698
4205,1.632961886
4206,2.025072674
4207,1.885529716
